iata_code,icao_code
WAW,EPWA
KRK,EPKR
SZZ,EPSC
IEG,EPZG
WRO,EPWR
GDN,EPGD
BRU,EBBR
BUD,LHBP
CIA,LIRA
CGN,EDDK
DTM,EDLW
